entities,label
accord gran company plan production russia company grow,1
quarter componenta net sale double eur eur period year early zero pre tax profit pre tax loss eur,2
quarter net sale increase eur operating profit eur,2
operating profit rise eur eur corresponding period represent net sale,2
operate profit total eur eur represent net sale,2
finnish talentum report operating profit increase eur eur net sale total eur eur,2
clothing retail chain sepp sale increase eur operating profit rise eur eur,2
consolidated net sale increase reach eur operating profit eur compare loss eur prior year period,2
foundry division report sale increase eur eur corresponding period sale machine shop division increase eur eur corresponding period,2
helsinki afx share close higher lead nokia announce plan team sanyo manufacture handset nokian tyre fourth quarter earning report beat analyst expectation dealer,2
board director propose dividend eur share eur share pay,2
megafon subscriber base increase million user december market share number customer late late accord teliasonera estimate,2
net income life insurance double eur eur net income non life insurance rise eur eur corresponding period,2
net sale increase eur eur pretax profit rise eur eur usd,2
net sale surge eur teleste eur sale come acquisition,2
nordea group operating profit increase percent year year billion euro total revenue percent billion euro,2
operate profit month period increase eur net sale increase eur compare corresponding period,2
operate profit month period increase eur revenue increase eur compare corresponding period,2
company net profit rise year million euro sale million euro year company early,2
lithuanian beer market million liter january rise percent year early figure lithuanian brewer association report cite result member,2
vike line cargo revenue increase eur cargo volume increase cargo unit,2
fair value property portfolio double result kapiteeli acquisition total eur million,2
february finnish medium company sanoma oyj hel saa yesterday net profit triple eur eur announce proposal raise payout,2
helsinki eliiv today report eps eur increase eps eur,2
commission income increase eur lending volume rise,2
january traffic measure revenue passenger kilometre rpk capacity measure available seat kilometre ask rise,2
january september fiskar net profit year year eur million net sale eur million eur million,2
net income life insurance rise eur eur net income non life insurance eur eur,2
sale rise export market,2
sale increase grow market rate increase operation,2
agreement strengthen long term partnership nokia siemens network,2
company order book stand bln euro bln september pct year international order mln euro mln,2
company paper demand increase main market include publication paper increase average paper price percent compare year,2
world second large stainless steel maker net profit month period dec surge euro million million euro share euro million euro share previous year,2
share standard chartered stan rise ftse royal bank scotland rbs share rise barclay share barc bcs,2
share nokia corp rise thursday cell phone maker quarter earning double share global handset market increase,2
financial report publish friday seb net profit soar sek year early sek propose dividend increase sek share,2
request finnish medium company alma medium newspaper research manager jari kaivo oja finland futures research centre turku school economic draw future scenario finland national economy use model develop university denver,1
stock exchange announcement july basware share subscription warrant increase share capital total share subscribe basware warrant program,1
maximum new share far subscribe exercise option stock option plan,1
tiimari operate store country include core finnish market generate turnover mln eur,1
acquisition considerably increase kemira sale market position russian metal industry coating market,2
january september finnlines net sale rise eur eur corresponding period,2
adjust change group structure division net sale increase,2
february finnish broadband data communication system provider teleste oyj hel tlt net profit jump eur quarter eur period,2
finnish aktia group operating profit rise eur quarter eur quarter,2
finnish bank àland consolidated net operating profit increase eur quarter eur quarter,2
finnish financial group aktia report operate profit eur january september eur corresponding period,2
