docs,label
"['accord', 'gran', 'company', 'plan', 'production', 'russia', 'company', 'grow']",1
"['new', 'production', 'plant', 'company', 'increase', 'capacity', 'meet', 'expect', 'increase', 'demand', 'improve', 'use', 'raw', 'material', 'increase', 'production', 'profitability']",2
"['quarter', '2010', 'componenta', 'net', 'sale', 'double', 'eur131', 'm', 'eur76', 'm', 'period', 'year', 'early', 'zero', 'pre', 'tax', 'profit', 'pre', 'tax', 'loss', 'eur7', 'm']",2
"['quarter', '2010', 'net', 'sale', 'increase', '5.2', 'eur', '205.5', 'mn', 'operate', 'profit', '34.9', 'eur', '23.5', 'mn']",2
"['operating', 'profit', 'rise', 'eur', '13.1', 'mn', 'eur', '8.7', 'mn', 'corresponding', 'period', '2007', 'represent', '7.7', 'net', 'sale']",2
"['operate', 'profit', 'total', 'eur', '21.1', 'mn', 'eur', '18.6', 'mn', '2007', 'represent', '9.7', 'net', 'sale']",2
"['teliasonera', 'tlsn', 'offer', 'line', 'strategy', 'increase', 'ownership', 'core', 'business', 'holding', 'strengthen', 'eesti', 'telekom', 'offering', 'customer']",2
"['stora', 'enso', 'norske', 'skog', 'm', 'real', 'upm', 'kymmene', 'credit', 'suisse', 'boston', 'cfsb', 'raise', 'fair', 'value', 'share', 'large', 'nordic', 'forestry', 'group']",2
"['purchase', 'agreement', '7,200', 'ton', 'gasoline', 'delivery', 'hamina', 'terminal', 'finland', 'sign', 'neste', 'oil', 'oyj', 'average', 'platt', 'index', 'september', 'plus', 'dollar', 'month']",2
"['finnish', 'talentum', 'report', 'operating', 'profit', 'increase', 'eur', '20.5', 'mn', '2005', 'eur', '9.3', 'mn', '2004', 'net', 'sale', 'total', 'eur', '103.3', 'mn', 'eur', '96.4', 'mn']",2
"['clothing', 'retail', 'chain', 'sepp+ñl+ñ', 'sale', 'increase', '8', 'eur', '155.2', 'mn', 'operating', 'profit', 'rise', 'eur', '31.1', 'mn', 'eur', '17.1', 'mn', '2004']",2
"['consolidated', 'net', 'sale', 'increase', '16', 'reach', 'eur74', '.8', 'm', 'operating', 'profit', 'eur0', '.9', 'm', 'compare', 'loss', 'eur0', '.7', 'm', 'prior', 'year', 'period']",2
"['foundry', 'division', 'report', 'sale', 'increase', '9.7', 'eur', '63.1', 'mn', 'eur', '57.5', 'mn', 'corresponding', 'period', '2006', 'sale', 'machine', 'shop', 'division', 'increase', '16.4', 'eur', '41.2', 'mn', 'eur', '35.4', 'mn', 'corresponding', 'period', '2006']",2
"['helsinki', 'afx', 'share', 'close', 'high', 'lead', 'nokia', 'announce', 'plan', 'team', 'sanyo', 'manufacture', '3', 'g', 'handset', 'nokian', 'tyre', 'fourth', 'quarter', 'earning', 'report', 'beat', 'analyst', 'expectation', 'dealer']",2
"['incap', 'contract', 'manufacturing', 'services', 'pvt', 'ltd', 'subsidiary', 'incap', 'corporation', 'finland', 'plan', 'double', 'revenue', '2007', '2008']",2
"['board', 'director', 'propose', 'dividend', 'eur0', '.12', 'share', '2010', 'eur0', '.08', 'share', 'pay', '2009']",2
"['lifetree', 'found', '2000', 'revenue', 'rise', 'average', '40', 'margin', 'late', '30']",2
"['megafon', 'subscriber', 'base', 'increase', '16.1', '2009', '50.5', 'million', 'user', 'december', '31', 'market', 'share', 'number', 'customer', '24', 'late', '2009', '23', 'late', '2008', 'accord', 'teliasonera', 'estimate']",2
"['net', 'income', 'life', 'insurance', 'double', 'eur', '6.8', 'mn', 'eur', '3.2', 'mn', 'net', 'income', 'non', 'life', 'insurance', 'rise', 'eur', '5.2', 'mn', 'eur', '1.5', 'mn', 'corresponding', 'period', '2009']",2
"['net', 'sale', 'increase', 'eur193', '.3', 'm', 'eur179', '.9', 'm', 'pretax', 'profit', 'rise', '34.2', 'eur43', '.1', 'm.', 'eur1', '=', 'usd1', '.4']",2
