entities,label
accord gran company plan production russia company grow,1
quarter 2010 componenta net sale double eur131 m eur76 m period year early zero pre tax profit pre tax loss eur7 m,2
quarter 2010 net sale increase 5.2 eur 205.5 mn operate profit 34.9 eur 23.5 mn,2
operating profit rise eur 13.1 mn eur 8.7 mn corresponding period 2007 represent 7.7 net sale,2
operate profit total eur 21.1 mn eur 18.6 mn 2007 represent 9.7 net sale,2
finnish talentum report operating profit increase eur 20.5 mn 2005 eur 9.3 mn 2004 net sale total eur 103.3 mn eur 96.4 mn,2
clothing retail chain sepp+ñl+ñ sale increase 8 eur 155.2 mn operating profit rise eur 31.1 mn eur 17.1 mn 2004,2
consolidated net sale increase 16 reach eur74 .8 m operating profit eur0 .9 m compare loss eur0 .7 m prior year period,2
foundry division report sale increase 9.7 eur 63.1 mn eur 57.5 mn corresponding period 2006 sale machine shop division increase 16.4 eur 41.2 mn eur 35.4 mn corresponding period 2006,2
helsinki afx share close high lead nokia announce plan team sanyo manufacture 3 g handset nokian tyre fourth quarter earning report beat analyst expectation dealer,2
board director propose dividend eur0 .12 share 2010 eur0 .08 share pay 2009,2
megafon subscriber base increase 16.1 2009 50.5 million user december 31 market share number customer 24 late 2009 23 late 2008 accord teliasonera estimate,2
net income life insurance double eur 6.8 mn eur 3.2 mn net income non life insurance rise eur 5.2 mn eur 1.5 mn corresponding period 2009,2
net sale increase eur193 .3 m eur179 .9 m pretax profit rise 34.2 eur43 .1 m. eur1 = usd1 .4,2
net sale surge 18.5 eur167 .8 m. teleste eur20 .4 m 12.2 sale come acquisition 2009,2
nordea group operating profit increase 2010 18 percent year year 3.64 billion euro total revenue 3 percent 9.33 billion euro,2
operate profit month period increase eur13 .6 m net sale increase eur394 .7 m compare corresponding period 2005,2
operate profit month period increase eur1 .2 m revenue increase eur20 .2 m compare corresponding period 2005,2
company net profit rise 11.4 year 82.2 million euro 2005 sale 686.5 million euro 13.8 year company early,2
lithuanian beer market 14.41 million liter january rise 0.8 percent year early figure lithuanian brewer association report cite result member,2
"vike line cargo revenue increase 5.4 eur 21.46 mn cargo volume increase 2.4 70,116 cargo unit",2
"fair value property portfolio double result kapiteeli acquisition total eur 2,686.2 1,259.7 million",2
10 february 2011 finnish medium company sanoma oyj hel   saa1v yesterday 2010 net profit triple eur297 .3 m eur107 .1 m 2009 announce proposal raise payout,2
helsinki   eliiv today report eps eur1 .13 2009 increase eps eur1 .12 2008,2
commission income increase 22 eur 4.4 mn lending volume rise 13.5,2
january traffic measure revenue passenger kilometre rpk 3.2 capacity measure available seat kilometre ask rise 12.2,2
january september 2010 fiskar net profit 14 year year eur 65.4 million net sale eur 525.3 million eur 487.7 million,2
net income life insurance rise eur 16.5 mn eur 14.0 mn net income non life insurance eur 22.6 mn eur 15.2 mn 2009,2
sale rise export market,2
sale increase grow market rate increase operation,2
agreement strengthen long term partnership nokia siemens network,2
company order book stand 1.5 bln euro $ 2.2 bln september 30 2007 24.2 pct year international order 365 mln euro $ 534.3 mln,2
company paper demand increase main market include publication paper increase average paper price 4 percent compare year,2
world second large stainless steel maker net profit month period dec 31 surge euro603 million us$ 781 million euro3 .33 us$ 4.31 share euro172 million euro0 .94 share previous year,2
share standard charter stan rise 1.2 ftse 100 royal bank scotland rbs share rise 2 barclay share barc bcs 1.7,2
share nokia corp rise thursday cell phone maker quarter earning double share global handset market increase,2
financial report publish friday seb net profit soar sek6 .745 bn 2010 year early sek1 .114 bn propose 50 dividend increase sek1 .50 share,2
request finnish medium company alma medium newspaper research manager jari kaivo oja finland futures research centre turku school economic draw future scenario finland national economy use model develop university denver,1
stock exchange announcement 20 july 2006 1 1 basware share subscription warrant increase share capital total 119 850 share subscribe basware warrant program,1
"maximum 666,104 new share far subscribe exercise b option 2004 stock option plan",1
tiimari operate 194 store country include core finnish market generate turnover 76.5 mln eur 2005,1
acquisition considerably increase kemira sale market position russian metal industry coating market,2
january september 2007 finnline net sale rise eur 505.4 mn eur 473.5 mn corresponding period 2006,2
adjust change group structure division net sale increase 1.7,2
4 february 2011 finnish broadband datum communication system provider teleste oyj hel   tlt1v net profit jump eur2 .1 m quarter 2010 eur995 000 period 2009,2
finnish aktia group operating profit rise eur 17.5 mn quarter 2010 eur 8.2 mn quarter 2009,2
finnish bank + àland consolidated net operating profit increase eur 4.8 mn quarter 2005 eur 6.4 mn quarter 2006,2
finnish financial group aktia report operate profit eur 44.4 mn january september 2009 eur 37.3 mn corresponding period 2008,2
finnish high technology provider vaahto group report net sale eur 41.8 mn accounting period september 2007 february 2008 increase 11.2 year early,2
net sale finnish food industry company l+ñnnen tehtaat continue operation increase 13 2008 eur 349.1 mn eur 309.6 mn 2007,2
biohit service current genesis customer customer base expect expand result agreement,2
