entities,label
orion pharma operating profit increase,2
return investment compare negative,2
profitability ebit compare previous year period,2
adp news oct finnish food company raisio oyj omx raivv today net profit jump eur million usd month eur million period,2
stock trade map day map sek high day map sek bullish indicator,2
operate profit kauppalehti group rise eur eur marketplace eur eur quarter,2
ebit exclude non recur item total eur eur,2
operating profit net sale month period increase respectively eur eur compare corresponding period,2
ruukki forecast annual sale growth positive pretax result,2
export grow percent million liter,2
fair value company investment property grow eur billion end march eur million year ago,2
company marketing sale investment initiate efficient,2
circulation revenue increase finland sweden,2
policy aim company profitable competitive,2
transaction real sappi sign long term agreement supply pulp bctmp small service supply,2
pretax profit group life insurance business increase eur million eur million,2
price raw material aluminium end company consider outlook favourable,2
skf april alandsbanken buy recommendation swedish industrial company skf sto skf share price target sek,2
dilute earning share eps rise eur versus eur,2
operating loss eur compare loss eur second quarter,2
september finnish stationery gift retailer tiimari hel tii today net sale rise year year eur august drive growth finland demand baltic remain weak,2
eps outlook increase pct pct,2
lithuanian beer maker sell million liter beer rise cent year early figure million liter,2
net sale surge eur million,2
vaahto pulp paper finnish vaahto group award order renovate finnish swedish forest industry company stora enso paperboard machine ingerois board mill finland,2
progress group qpr representative saudi arabia north africa sign framework agreement long term strategic relationship ise,2
scania morgan stanley lift share target swedish heavy duty truck bus maker scania crown euro crown euro,2
quarterly dilute continue operation come eur compare year eur,2
finnish liquid handling product diagnostic test system maker biohit oyj hel biobv today net loss narrow eur usd quarter eur period,2
market share rise percent percent year early,2
profit taxis eur eur year early,2
stora enso quarter pre tax profit double eur,2
london afx share rautaruukki corp upgrade hold sell abn amro price target raise eur dealer,2
upm kymmene upgrade line underperform goldman sach,2
company operate profit eur versus operating loss eur turn eps eur versus loss share eur,2
plan estimate generate eur million usd cost saving annual basis,2
demand sport equipment good,2
pretax profit rise eur eur corresponding period,2
sport equipment sale progress owe prolonged winter season,2
operating profit rise eur eur corresponding period,2
customer satisfied basware invoice automation solution extend implementation new geography,2
basware ceo ilkka sihvo comment conjunction interim report basware succeed second quarter,2
operate income rise eur eur,2
tele affarsvarlden buy recommendation mobile operator tele share price target crown euro,2
soapstone deposit medvezhyegorsk area expect increase tulikivi current reserve considerably,2
january traffic measure revenue passenger kilometre rpk capacity measure available seat kilometre ask rise,2
finnish high technology provider vaahto group report net sale eur accounting period september february increase year early,2
company operate income ebit total eur eur year year,2
foundry division report sale increase eur eur corresponding period sale machine shop division increase eur eur corresponding period,2
department store division report increase sale cent,2
sale volume food industry expect remain relatively good level finland scandinavia atria,2
company expect net sale significantly increase,2
fourth quarter orion net profit year year eur,2
month company net loss narrow eur eur million corresponding period,2
group strong global position fishing category,2
production capacity increase tonne year raw material continue recycle paper board,2
operate profit total eur eur,2
original componenta subsidiary finnish componenta group change component company growth comparison,2
china base operation enable fully leverage resource expertise wireless solution strengthen capability offer industry lead product customer china,2
finnish oko bank sign cooperation agreement raiffeisen concern finnish company investment russia,2
year sysopen digia invest ibm product know building portal trading place system successfully implement customer solution support,2
earning share eps eur loss eur,2
revenue grow percent million million million,2
net interest income increase eur eur,2
finnish rautaruukki award contract supply install steel superstructure partihallsf ârbindelsen bridge gothenburg sweden,2
profit share eur eur,2
end review period nordic aluminium order book stand eur compare eur,2
operate profit total eur slightly eur corresponding period,2
digia consolidated net sale january june eur period eur,2
increase estimate sale million year,2
finnish cargotec kalmar receive significant order department defense,2
diluted loss share narrow eur eur,2
growth net sale continue favourably middle east africaand asia pacific,2
finnish office supply computer accessory dealer beltton group plc net profit rise mln euro mln mln euro mln,2
olvi expect sale market share increase quarter,2
turnover rise eur eur,2
finnish silicon wafer technology company okmetic oyj omx helsinki okm report thursday october operating profit eur january september eur corresponding period,2
elisa mobile subscription grow percent mainly customer adopt generation mobile technology,2
bank potential getinge share rise,2
uponor operating profit eur eur record year,2
finlan list food industry company hkscan group control company baltic improve revenue eur eur eur year,2
moderate significant change result significant reduction estimate cvd risk,2
finnish kci konecrane raise net sale growth estimate,2
chain post sale million euro rise percent year year,2
location mall convenient place shop consumer large residential area nearby jaroszowka wysockiego zgody,2
accord vike line manage director nils erik eklund company board director satisfied vike line performance,2
april finnish forest machinery equipment maker ponsse oyj hel pon today expect swing net profit eur quarter eur loss year early,2
operating profit rise eur eur corresponding period,2
nordea return positive growth baltic country,2
fiskar year old global business know orange handle scissor expect derive synergy eur million year consolidate certain houseware division compete,2
eps continue operation come eur,2
january ephc board director approve increase quarterly dividend share,2
operate profit month period increase eur revenue increase eur compare corresponding period,2
operating profit rise mln eur mln,2
result company currently anticipate net sale increase operating result positive,2
earning share quarter come eur eur quarter year early,2
combine deep domain expertise application service management asm outsourcing service offering prove win combination,2
rationalization operation seek achieve eur million yearly saving second quarter current financial year,2
narrow eur october finnish software hardware developer elektrobit oyj hel ebg today net loss narrow eur month eur period year ago,2
sale improve sek compare sek,2
month company net profit rise eur eur corresponding period,2
helsinki base company salomon atomic suunto brand net profit rise percent month dec million million million year early,2
company expect net sale increase,2
profit period total eur eur corresponding period,2
deal likely bring saving eur,2
adp news feb finnish management software solution provider ixono oyj hel xns today net profit rise eur million usd eur million,2
consolidated net sale increase reach eur operating profit eur compare loss eur prior year period,2
operate profit improve eur eur,2
reporting period net sale rise year year eur business acquisition realize half effect eur review period,2
section regional news demand finnair asian traffic measure passenger kilometer august compare year,2
line stone sale good early autumn order book strong end year,2
operate profit improve eur eur,2
operating result include non recur item rise eur loss eur,2
basware corporation stock exchange release august basware sign large deal international industrial group basware deliver invoice automation solution connectivity service international industrial group,2
extremely delighted project continuation cooperation vike line,2
adp news feb finnish computer service company proha oyj hel art today net loss narrow eur usd eur million,2
operating profit net sale month period increase respectively eur eur compare corresponding period,2
quarter net sale increase eur operating profit eur,2
operate profit sale month period increase respectively eur eur compare corresponding period,2
productional situation improve,2
bring cost saving eur year,2
finnish silicon wafer technology company okmetic oyj omx helsinki okm report thursday august operating profit eur period january june eur corresponding period,2
bilfinger investor cheer agreement push share euro euro afternoon trade,2
profit period eur eur,2
new factory working model reorganisation decrease nokian tyre cost factory eur million usd,2
operating profit net sale month period increase respectively eur eur compare corresponding period,2
operating profit rise eur million,2
olvi control percent stake ragutis coq annual report publish early year lithuanian brewery sale reach million euro year rise percent million euro,2
fair value investment property total eur eur,2
adp news feb finnish fishing tackle company rapala vmc corp hel rap today net profit rise eur million usd eur million,2
mika stahlberg secure lab excited proud secure recognize comparative product year,2
