entities,label
thursday big analyst apple amazon tesla palantir docusign exxon amp   ,0
buy las vegas sand travel singapore builds wells fargo   ,0
piper sandler downgrade docusign sell cite elevated risk amid ceo transition   ,0
analyst react tesla late earning break electric car maker   ,0
netflix peer set return growth analyst stock 120 upside   ,0
barclay believe earning underperforming stock surprise wall street   ,0
bernstein upgrade alibaba share rally 20   ,0
analyst react netflix strong quarter pointing potential stock   ,0
buy chevron share look attractive level hsbc   ,0
morgan stanley global stock set earning beat 45 upside   ,0
invest club analyst drop bunch new note energy stock stand   ,0
cfra downgrade disney lack cash dividend hurt streaming platform   ,0
bank america bullish jpmorgan mean wall street economy   ,0
tuesday big analyst meta chipotle apple tesla exxon netflix sunrun amp   ,0
citi cut microsoft price target cite foreign exchange headwind   ,0
exchange operator cboe buy recession chance rise morgan stanley   ,0
strong earning bring netflix funk credit suisse   ,0
tesla bitcoin holding result $ 460 million hit carmaker barclay   ,0
morningstar strategist faang stock look incredibly cheap right   ,0
analyst day @cnbcpro subscriber citi add positive catalyst watch delta upside risk   subscribe analyst day curate cnbc pro   ,0
apple near term future look murky consumer spending slow bernstein   ,0
buy tesla short term capture potential upside earning deutsche bank   ,0
monday big analyst day tesla apple yum delta fox netflix amp   ,0
deutsche bank downgrade general motor cite loom pricing risk automaker   ,0
morgan stanley downgrade paramount fox warn possible stream recession   ,0
buy yum brand defend slowdown consumer spending goldman sachs   ,0
analyst reveal stock significant upside potential head earning   ,0
argus downgrade delta cite weak outlook follow second quarter earning   ,0
analyst day @cnbcpro subscriber bank america buy rating share nvidia weakness stock impact semiconductor company   subscribe analyst day curate cnbc pro   ,0
friday big analyst day mcdonald netflix amazon nvidia visa amp   ,0
bernstein medtech company dexcom clear buy cite long term runway diabetes management   ,0
ubs slash netflix price target ahead earning warn cautious outlook stream giant   ,0
bmo cut microsoft price target cite pressure software valuation potential recession   ,0
edward jones buy qualcomm chipmaker pullback create attractive buying opportunity   ,0
credit suisse add financial stock pick july   ,0
thursday big analyst tesla amazon twitter qualcomm costco apple amp   ,0
deutsche bank upgrade costco buy club business model outperform uncertain economy   ,0
morgan stanley jonas trim price target tesla cite slow economy   ,0
bmo upgrade advanced micro devices chipmaker gain market share rival   ,0
bank america slashes s&amp;p 500 target stock fall 5 year end   ,0
"truist initiate coverage tesla buy rating $ 1,000 price target   ",0
goldman stock smart defensive play economically sensitive construction group   ,0
wall street bet analyst cut earning estimate economy sign slow   ,0
raymond james bath amp body work oversell jump nearly 70   ,0
analyst day @cnbcpro subscriber citi reiterate nvidia buy lower price target nvidia $ 285 share $ 315 gaming weakness price   subscribe analyst day curate cnbc pro   ,0
company downgrade pick steam profit outlook dim   ,0
morgan stanley stock safe haven tech sector upside 60   ,0
susquehanna downgrade jetblue cite struggle cost structure   ,0
tuesday big analyst tesla apple gap jpmorgan chase nvidia southwest   ,0
morgan stanley downgrade american express low spending high end consumer   ,0
citi upgrades jpmorgan chase buy stock attractive entry point   ,0
morgan stanley stock safe haven tech sector upside 60   ,0
ubs cut s&amp;p 500 price target 2022 earning estimate   ,0
evercore isi gazump growth grower potentially tough earning season   ,0
evercore isi cut s&amp;p 500 target cite slow growth low earning   ,0
share mattel 30 upside tv movie release goldman sach   ,0
occidental petroleum look overbought rally year goldman sachs   ,0
analyst day @cnbcpro subscriber cowen reiterate apple outperform stock remain defensive head earning later month   subscribe analyst day curate cnbc pro   ,0
monday big analyst apple amazon meta honeywell cvs mattel qorvo amp   ,0
bank america upgrades honeywell buy cite potential growth aerospace oil gas   ,0
time sell meta figure metaverse needham downgrade   ,0
bank america share compelling buy recession societe generale upgrade   ,0
cowen downgrade chip stock qorvo demand smartphone slow   ,0
$ cof 104.70 -2.47 -2.3 capital downgrade perform outperform oppenheimer downgrade equal weight overweight morgan stanley,0
$ zg zillow finally analyst upgrade find notable firm follow suit   ,0
@fibonaccisqnc e estimate come sharply ex oil gas feel lot position nasty outlook think surprise,0
$ pypl morgan stanley maintain paypal coverage overweight $ 129 pt I m long,0
jmp security maintain $ hood coverage market outperform $ 28 price target,0
$ frln wedbush outperform rating $ 3 pt,0
$ epix $ 25 price target zack small cap research   ,0
good remove review negative implication affirm credit rating r&amp;q insurance holdings ltd rate subsidiary   ,0
kbra assign preliminary rating progress residential 2022 sfr6   ,0
kbra commentary fire near starz mortgage security 2021 1 dac brixton loan collateral   ,0
good place credit rating brightsideco insurance limit review negative implication   ,0
venta outlook revise fitch rating stable   ,0
good revise outlook positive frank winston crum insurance company   ,0
good comment credit rating cova coopration partnerre ltd follow sale completion   ,0
good comment credit rating athora holding ltd sub follow announce acquisition closed life pension portfolio   ,0
good affirm credit rating crum amp forster insurance group member monitor life insurance company new york   ,0
good assign credit rating onix asigurari s.a   ,0
nice leader journey orchestration analyst firm   ,0
s&amp;p affirm assure guaranty aa financial strength rating stable outlook   ,0
good place credit rating western health advantage review develop implication   ,0
jpmorgan analyst monthly list idea stock   ,0
grizzly research bear report nio highlight possible accounting issue corporate governance red flag   ,0
jpmorgan analyst monthly list idea stock   ,0
klarna valuation slash $ 7bn late funding round   ,0
kraft heinz coverage start buy mizuho cite portfolio potential   ,0
jpmorgan lift hold sell berenberg good bank bad year   ,0
bank america slashes s&amp;p 500 target low street recession forecast   ,0
twitter new bullish backer wall street rosenblatt security social medium company disclosure flip narrative elon musk look like bad guy     ,0
]witter disclosure detailed effort explain spam bot calculation musk musk reluctance engage largely end skepticism twitter instead skeptical musk analyst write   ,0
klarna valuation slash $ 6.7 billion $ 45.6 billion new funding round   ,0
$ lulu $ ftch $ jwn lululemon nike nordstrom headline keybanc list retail pick   ,0
$ nxpi $ $ nvda citi positive nxp firm semiconductor rally august   ,0
$ tmus $  $ vz citi solid revenue growth broadband wireless despite headwind   ,0
$ morf morphic coverage initiate outperform svb securities   ,0
$ rgen repligen attract initial bull rating ubs group long term growth prospect   ,0
$ www $ bird $ plby stifel downgrade allbird wolverine plby downbeat retail review   ,0
$ goog $ googl exane hit sideline alphabet amid ad pressure rival headwind   ,0
$ ally ally financial downgrade line delinquency rate rise   ,0
$ exls $ g $ wns citi downgrade exlservice sell premium valuation   ,0
$ cmi cummin downgrade bernstein slow demand   ,0
$ czr caesar entertainment set sell equivalent susquehanna amid soften demand   ,0
$ vblt vascular biogenic cut neutral hc wainwright trial failure sink stock 79   ,0
$ bmbl $ mtch j.p morgan cut online date estimate macro issue stay positive   ,0
$ hbm $ fqvlf $ fnv hudbay mineral upgrade barclay value emerge copper selloff   ,0
$ xom exxon buy piper sandler refinery result poise hit record   ,0
$ tfc truist downgrade hold cfra limited prospect fee income growth   ,0
$ dpz domino pizza position outperform market baird   ,0
$ tak $ arwr takeda upgrade outperform cowen valuation cash flow   ,0
$ apls h.c wainwright blockbuster potential apellis treatment eye degeneration   ,0
$ ino inovio pharmaceutical slot sector perform rbc capital initial rating look   ,0
$ becn beacon roofing supply cut william blair peak margin slow housing market   ,0
$ klac $ amat $ intc kla corp apply material intel expect beneficiary chip act bofa   ,0
$ intc susquehanna cautious intel q2 cite deteriorate pc demand   ,0
$ czr caesar entertainment single b. riley earning catalyst potential   ,0
$ dice $ amgn dice therapeutic initiate buy wainwright platform small molecule drug   ,0
$ gm $ tsla general motor downgrade deutsche amid pricing pressure recession risk   ,0
$ cmg chipotle lose conviction buy list status goldman sach restaurant pick   ,0
$ bkng book holding evercore isi near term upside   ,0
$ shoo $ rcky $ www b. riley expect footwear stock stand firm amid market turmoil   ,0
$ pen penumbra gain rbc initiate outperform 59 upside   ,0
$ mitt keefe bruyette analyst downgrade ag mortgage investment trust sector concern   ,0
$ holx hologic cut neutral btig macro concern   ,0
$ bl blackline fall cut sell equivalent bofa m&amp;a speculation   ,0
$ ip $ gpk containerboard check wells fargo downgrade international paper graphic package pick   ,0
$ shop shopify view cautiously wells fargo earning print   ,0
$ lly $ nvo $ nonof novo eli lilly dominate gt;$50b obesity market morgan stanley   ,0
$ dxcm bernstein initiate dexcom outperform rating cite long growth runway   ,0
$ save $ ulcc $ jblu iss shift view advise spirit frontier deal san improve offer   ,0
$ mlm $ vmc martin marietta raise outperform wolfe 30 ytd drop excessive   ,0
