sentence,label,cleaned title,docs,entities
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",1,"according to gran , the company has no plans to move all production to russia , although that is where the company is growing .","['accord', 'gran', 'company', 'plan', 'production', 'russia', 'company', 'grow']",accord gran company plan production russia company grow
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",1,"technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .","['technopoli', 'plan', 'develop', 'stage', 'area', '100,000', 'square', 'meter', 'order', 'host', 'company', 'work', 'computer', 'technology', 'telecommunication', 'statement']","technopoli plan develop stage area 100,000 square meter order host company work computer technology telecommunication statement"
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,2,with the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,"['new', 'production', 'plant', 'company', 'increase', 'capacity', 'meet', 'expect', 'increase', 'demand', 'improve', 'use', 'raw', 'material', 'increase', 'production', 'profitability']",new production plant company increase capacity meet expect increase demand improve use raw material increase production profitability
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",2,"according to the company 's updated strategy for the years 2009-2012 , basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .","['accord', 'company', 'update', 'strategy', 'year', '2009', '2012', 'basware', 'target', 'long', 'term', 'net', 'sale', 'growth', 'range', '20', '-40', 'operate', 'profit', 'margin', '10', '-20', 'net', 'sale']",accord company update strategy year 2009 2012 basware target long term net sale growth range 20 -40 operate profit margin 10 -20 net sale
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",2,"for the last quarter of 2010 , componenta 's net sales doubled to eur131m from eur76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of eur7m .","['quarter', '2010', 'componenta', 'net', 'sale', 'double', 'eur131', 'm', 'eur76', 'm', 'period', 'year', 'early', 'zero', 'pre', 'tax', 'profit', 'pre', 'tax', 'loss', 'eur7', 'm']",quarter 2010 componenta net sale double eur131 m eur76 m period year early zero pre tax profit pre tax loss eur7 m
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",2,"in the third quarter of 2010 , net sales increased by 5.2 % to eur 205.5 mn , and operating profit by 34.9 % to eur 23.5 mn .","['quarter', '2010', 'net', 'sale', 'increase', '5.2', 'eur', '205.5', 'mn', 'operate', 'profit', '34.9', 'eur', '23.5', 'mn']",quarter 2010 net sale increase 5.2 eur 205.5 mn operate profit 34.9 eur 23.5 mn
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,2,operating profit rose to eur 13.1 mn from eur 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,"['operating', 'profit', 'rise', 'eur', '13.1', 'mn', 'eur', '8.7', 'mn', 'corresponding', 'period', '2007', 'represent', '7.7', 'net', 'sale']",operating profit rise eur 13.1 mn eur 8.7 mn corresponding period 2007 represent 7.7 net sale
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",2,"operating profit totalled eur 21.1 mn , up from eur 18.6 mn in 2007 , representing 9.7 % of net sales .","['operate', 'profit', 'total', 'eur', '21.1', 'mn', 'eur', '18.6', 'mn', '2007', 'represent', '9.7', 'net', 'sale']",operate profit total eur 21.1 mn eur 18.6 mn 2007 represent 9.7 net sale
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,2,teliasonera tlsn said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen eesti telekom 's offering to its customers .,"['teliasonera', 'tlsn', 'offer', 'line', 'strategy', 'increase', 'ownership', 'core', 'business', 'holding', 'strengthen', 'eesti', 'telekom', 'offering', 'customer']",teliasonera tlsn offer line strategy increase ownership core business holding strengthen eesti telekom offering customer
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",2,"stora enso , norske skog , m-real , upm-kymmene credit suisse first boston ( cfsb ) raised the fair value for shares in four of the largest nordic forestry groups .","['stora', 'enso', 'norske', 'skog', 'm', 'real', 'upm', 'kymmene', 'credit', 'suisse', 'boston', 'cfsb', 'raise', 'fair', 'value', 'share', 'large', 'nordic', 'forestry', 'group']",stora enso norske skog m real upm kymmene credit suisse boston cfsb raise fair value share large nordic forestry group
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",2,"a purchase agreement for 7,200 tons of gasoline with delivery at the hamina terminal , finland , was signed with neste oil oyj at the average platts index for this september plus eight us dollars per month .","['purchase', 'agreement', '7,200', 'ton', 'gasoline', 'delivery', 'hamina', 'terminal', 'finland', 'sign', 'neste', 'oil', 'oyj', 'average', 'platt', 'index', 'september', 'plus', 'dollar', 'month']","purchase agreement 7,200 ton gasoline delivery hamina terminal finland sign neste oil oyj average platt index september plus dollar month"
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",2,"finnish talentum reports its operating profit increased to eur 20.5 mn in 2005 from eur 9.3 mn in 2004 , and net sales totaled eur 103.3 mn , up from eur 96.4 mn .","['finnish', 'talentum', 'report', 'operating', 'profit', 'increase', 'eur', '20.5', 'mn', '2005', 'eur', '9.3', 'mn', '2004', 'net', 'sale', 'total', 'eur', '103.3', 'mn', 'eur', '96.4', 'mn']",finnish talentum report operating profit increase eur 20.5 mn 2005 eur 9.3 mn 2004 net sale total eur 103.3 mn eur 96.4 mn
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",2,"clothing retail chain sepp+ñl+ñ 's sales increased by 8 % to eur 155.2 mn , and operating profit rose to eur 31.1 mn from eur 17.1 mn in 2004 .","['clothing', 'retail', 'chain', 'sepp+ñl+ñ', 'sale', 'increase', '8', 'eur', '155.2', 'mn', 'operating', 'profit', 'rise', 'eur', '31.1', 'mn', 'eur', '17.1', 'mn', '2004']",clothing retail chain sepp+ñl+ñ sale increase 8 eur 155.2 mn operating profit rise eur 31.1 mn eur 17.1 mn 2004
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",2,"consolidated net sales increased 16 % to reach eur74 .8 m , while operating profit amounted to eur0 .9 m compared to a loss of eur0 .7 m in the prior year period .","['consolidated', 'net', 'sale', 'increase', '16', 'reach', 'eur74', '.8', 'm', 'operating', 'profit', 'eur0', '.9', 'm', 'compare', 'loss', 'eur0', '.7', 'm', 'prior', 'year', 'period']",consolidated net sale increase 16 reach eur74 .8 m operating profit eur0 .9 m compare loss eur0 .7 m prior year period
