docs,label
"['thursday', 'big', 'analyst', 'apple', 'amazon', 'tesla', 'palantir', 'docusign', 'exxon', 'amp', ' ', 'httpst.coqpn8gwl7uh']",0
"['buy', 'las', 'vegas', 'sand', 'travel', 'singapore', 'builds', 'wells', 'fargo', ' ', 'httpst.cofls2w57icz']",0
"['piper', 'sandler', 'downgrade', 'docusign', 'sell', 'cite', 'elevated', 'risk', 'amid', 'ceo', 'transition', ' ', 'httpst.co1emtywmypr']",0
"['analyst', 'react', 'tesla', 'late', 'earning', 'break', 'electric', 'car', 'maker', ' ', 'httpst.cokwhoe6w06u']",0
"['netflix', 'peer', 'set', 'return', 'growth', 'analyst', 'stock', '120', 'upside', ' ', 'httpst.cojppdl0d9s4']",0
"['barclay', 'believe', 'earning', 'underperforming', 'stock', 'surprise', 'wall', 'street', ' ', 'httpst.cophbsyvgaye']",0
"['bernstein', 'upgrade', 'alibaba', 'share', 'rally', '20', ' ', 'httpst.com3apoprgu0']",0
"['analyst', 'react', 'netflix', 'strong', 'quarter', 'pointing', 'potential', 'stock', ' ', 'httpst.cocqngjsyefd']",0
"['buy', 'chevron', 'share', 'look', 'attractive', 'level', 'hsbc', ' ', 'httpst.cogkdpfvxjep']",0
"['morgan', 'stanley', 'global', 'stock', 'set', 'earning', 'beat', '45', 'upside', ' ', 'httpst.cogewxa5yowr']",0
"['invest', 'club', 'analyst', 'drop', 'bunch', 'new', 'note', 'energy', 'stock', 'stand', ' ', 'httpst.cofakcxzymgz']",0
"['cfra', 'downgrade', 'disney', 'lack', 'cash', 'dividend', 'hurt', 'streaming', 'platform', ' ', 'httpst.cokg5v0ndfk4']",0
"['bank', 'america', 'bullish', 'jpmorgan', 'mean', 'wall', 'street', 'economy', ' ', 'httpst.cozhxjgjmwjv']",0
"['tuesday', 'big', 'analyst', 'meta', 'chipotle', 'apple', 'tesla', 'exxon', 'netflix', 'sunrun', 'amp', ' ', 'httpst.coxgyzbgpbvc']",0
"['citi', 'cut', 'microsoft', 'price', 'target', 'cite', 'foreign', 'exchange', 'headwind', ' ', 'httpst.cozsnmboyngw']",0
"['exchange', 'operator', 'cboe', 'buy', 'recession', 'chance', 'rise', 'morgan', 'stanley', ' ', 'httpst.coz51h67lv4o']",0
"['strong', 'earning', 'bring', 'netflix', 'funk', 'credit', 'suisse', ' ', 'httpst.co99yku9j8x2']",0
"['tesla', 'bitcoin', 'holding', 'result', '$', '460', 'million', 'hit', 'carmaker', 'barclay', ' ', 'httpst.coj50bsxasf6']",0
"['morningstar', 'strategist', 'faang', 'stock', 'look', 'incredibly', 'cheap', 'right', ' ', 'httpst.codkr5q5o0ei']",0
"['analyst', 'day', 'cnbcpro', 'subscriber', 'citi', 'add', 'positive', 'catalyst', 'watch', 'delta', 'upside', 'risk', ' ', 'subscribe', 'analyst', 'day', 'curate', 'cnbc', 'pro', ' ', 'httpst.coeayz0ec9do']",0
"['apple', 'near', 'term', 'future', 'look', 'murky', 'consumer', 'spending', 'slow', 'bernstein', ' ', 'httpst.co21t9lreta4']",0
"['buy', 'tesla', 'short', 'term', 'capture', 'potential', 'upside', 'earning', 'deutsche', 'bank', ' ', 'httpst.coq4mqosvmxj']",0
"['monday', 'big', 'analyst', 'day', 'tesla', 'apple', 'yum', 'delta', 'fox', 'netflix', 'amp', ' ', 'httpst.copt2oqzwpvb']",0
"['deutsche', 'bank', 'downgrade', 'general', 'motor', 'cite', 'loom', 'pricing', 'risk', 'automaker', ' ', 'httpst.co40yhalooou']",0
"['morgan', 'stanley', 'downgrade', 'paramount', 'fox', 'warn', 'possible', 'stream', 'recession', ' ', 'httpst.coapofbk4yvz']",0
"['buy', 'yum', 'brand', 'defend', 'slowdown', 'consumer', 'spending', 'goldman', 'sachs', ' ', 'httpst.co88zguvwexi']",0
"['analyst', 'reveal', 'stock', 'significant', 'upside', 'potential', 'head', 'earning', ' ', 'httpst.colfalk3nwaz']",0
"['argus', 'downgrade', 'delta', 'cite', 'weak', 'outlook', 'follow', 'second', 'quarter', 'earning', ' ', 'httpst.comuwxm66fao']",0
"['analyst', 'day', 'cnbcpro', 'subscriber', 'bank', 'america', 'buy', 'rating', 'share', 'nvidia', 'weakness', 'stock', 'impact', 'semiconductor', 'company', ' ', 'subscribe', 'analyst', 'day', 'curate', 'cnbc', 'pro', ' ', 'httpst.colhrn17009h']",0
